ID,dataset,NPR1,NPR2
5a,compounds,0.5472698583186962,0.707898764163567
5b,compounds,0.572944548903624,0.6864535632059063
5c,compounds,0.44424017048509135,0.7614358913922934
5d,compounds,0.4950324280971254,0.8022264484250302
5e,compounds,0.44293876056475273,0.7337849814542654
5f,compounds,0.4765446759513757,0.8065016155803296
5g,compounds,0.5684087063561231,0.7401694896538639
5h,compounds,0.5385712973103695,0.6861903972044805
5i,compounds,0.5205057277084296,0.6425425614504545
5j,compounds,0.5048807264567368,0.7650569646161748
5k,compounds,0.47571837802051126,0.762603588136771
5l,compounds,0.33853053677681816,0.7942258993928707
5m,compounds,0.33344456794268895,0.8507742819889439
5n,compounds,0.45879296432402283,0.7220919259891272
5o,compounds,0.47929009405715417,0.7570471803320636
5p,compounds,0.4375140805817924,0.8083965455022132
5q,compounds,0.47555001571177863,0.7547445405160498
5r,compounds,0.7288655352959312,0.8013991470649798
5s,compounds,0.46091804192981145,0.8367846104317263
5t,compounds,0.4278420128503672,0.810018177241481
5u,compounds,0.5252388864653219,0.7315068977836
5v,compounds,0.525393689150783,0.8565469667036948
